Ê±¼ä,15min½»Í¨Á¿,15minÉÏĞĞÍâ²à³µµÀËÙ¶È¾ùÖµ,15minÉÏĞĞÍâ²à³µµÀËÙ¶È±ê×¼²î,15minÉÏĞĞÖĞ¼ä³µµÀËÙ¶È¾ùÖµ,15minÉÏĞĞÖĞ¼ä³µµÀËÙ¶È±ê×¼²î,15minÉÏĞĞÄÚ²à³µµÀËÙ¶È¾ùÖµ,15minÉÏĞĞÄÚ²à³µµÀËÙ¶È±ê×¼²î,15minÏÂĞĞÄÚ²à³µµÀËÙ¶È¾ùÖµ,15minÏÂĞĞÄÚ²à³µµÀËÙ¶È±ê×¼²î,15minÏÂĞĞÖĞ¼ä³µµÀËÙ¶È¾ùÖµ,15minÏÂĞĞÖĞ¼ä³µµÀËÙ¶È±ê×¼²î,15minÏÂĞĞÍâ²à³µµÀËÙ¶È¾ùÖµ,15minÏÂĞĞÍâ²à³µµÀËÙ¶È±ê×¼²î,15minÉÏĞĞËÙ¶È¾ùÖµ,15minÉÏĞĞËÙ¶È±ê×¼²î,15minÏÂĞĞËÙ¶È¾ùÖµ,15minÏÂĞĞËÙ¶È±ê×¼²î,15min ÉÏĞĞ´óĞÍ³µÊıÁ¿,15min ÉÏĞĞÖĞĞÍ³µÊıÁ¿,15min ÉÏĞĞĞ¡ĞÍ³µÊıÁ¿,15min ÏÂĞĞ´óĞÍ³µÊıÁ¿,15min ÏÂĞĞÖĞĞÍ³µÊıÁ¿,15min ÏÂĞĞĞ¡ĞÍ³µÊıÁ¿,·ÖÖÓÄÜ¼û¶Èm,½µË®ÌìÆøÏÖÏó,ÆøÎÂ¡æ,Êª¶È%RH,Ë²Ê±·çËÙm/s,Ë²Ê±·çÏò¡ã,·ÖÖÓÄÚ¼«´ó·çËÙm/s,·ÖÖÓÄÚ¼«´ó·çÏò¡ã,2 minÆ½¾ù·çËÙm/s,2 minÆ½¾ù·çÏò¡ã,10 minÆ½¾ù·çËÙm/s,10 minÆ½¾ù·çÏò¡ã,ÆøÑ¹hPa,Â·ÃæÎÂ¶È¡æ,Â·Ãæ×´¿ö ,Ë®Ä¤ºñ¶Èmm,±ù²ãºñ¶Èmm,Ñ©²ãºñ¶Èmm,Êª»¬ÏµÊı
2020-03-02 11:45,67,90.8775,19.574728446392303,108.675,20.798326254773485,114.0,22.186698717925566,nan,nan,-70.0875,8.658466593456373,nan,nan,97.82117647058821,22.083768295862207,-70.0875,8.658466593456373,2,13,36,0,10,6,[20000.0],[0.0],[16.166666666666668],[41.6],[3.3533333333333335],[201.73333333333332],[3.3533333333333335],[201.73333333333332],[2.173333333333333],[205.6],[2.0333333333333337],[194.93333333333334],[792.8866666666665],[34.03333333333334],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-03-02 12:00,65,89.55272727272727,17.26454543061067,99.27,12.852155461244623,90.9,10.472535509607978,nan,nan,-74.205,8.782150932431074,nan,nan,92.04244897959184,16.346745607664012,-74.205,8.782150932431074,1,20,28,0,10,6,[20000.0],[0.0],[16.583333333333332],[38.833333333333336],[4.25],[204.0],[4.25],[204.0],[2.9999999999999996],[203.5],[2.6833333333333336],[209.83333333333334],[792.7666666666665],[35.733333333333334],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 12:15,73,82.98486486486486,15.135425711496357,103.86857142857141,25.234413819550607,99.82285714285715,14.482965081467965,nan,nan,-75.78,14.968166220349103,nan,nan,91.54523076923078,21.37458282869146,-75.78,14.968166220349103,1,26,38,0,3,5,[20000.0],[0.0],[17.066666666666666],[37.0],[4.3],[184.0],[4.3],[184.0],[3.1999999999999997],[189.33333333333334],[3.733333333333333],[199.0],[792.5666666666667],[37.5],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 12:30,53,91.4516129032258,19.808018431249927,117.52363636363634,11.604945084455297,109.8,3.0688108446106632,nan,nan,-70.965,11.832775456333142,nan,nan,99.048,20.850406614740155,-70.965,11.832775456333142,0,10,35,0,5,3,[16798.8],[0.0],[17.74],[35.2],[4.42],[211.2],[4.42],[211.2],[3.2199999999999998],[211.8],[3.4200000000000004],[215.4],[792.3],[39.82000000000001],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 12:45,76,84.63692307692308,15.114899111404252,109.60941176470587,13.139995733989924,102.16799999999999,13.129689105230177,nan,nan,-78.33599999999998,5.809735277962327,nan,nan,93.72545454545455,18.171059089380346,-78.33599999999998,5.809735277962327,1,14,51,0,4,6,[20000.0],[0.0],[18.049999999999997],[33.333333333333336],[4.433333333333334],[213.5],[4.433333333333334],[213.5],[3.1999999999999997],[191.83333333333334],[3.5666666666666664],[206.66666666666666],[792.2166666666667],[40.56666666666667],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 13:00,94,85.98,17.431995214055593,106.54666666666665,12.257822898958125,107.352,24.494184126032856,nan,nan,-69.912,8.962192588870204,nan,nan,95.71443037974684,19.911692369810336,-69.912,8.962192588870204,2,21,56,0,9,6,[20000.0],[0.0],[18.419999999999998],[30.6],[3.9400000000000004],[198.4],[3.9400000000000004],[198.4],[3.04],[186.6],[4.12],[183.8],[791.8399999999999],[41.96],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 13:15,73,90.67000000000002,19.187086803368565,105.55578947368421,18.72713267056497,103.83428571428571,17.23908421261976,nan,nan,-77.04,12.311023884750979,nan,nan,96.71806451612902,20.1415294641973,-77.04,12.311023884750979,0,21,41,0,8,3,[20000.0],[0.0],[18.771428571428572],[29.285714285714285],[4.6428571428571415],[198.14285714285714],[4.6428571428571415],[198.14285714285714],[3.5],[189.28571428571428],[3.7714285714285714],[190.14285714285714],[791.6],[43.15714285714286],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-03-02 13:30,80,88.98857142857143,21.821611455862108,108.63,17.06467403732049,104.61600000000001,15.678154993493335,nan,nan,-71.76,8.006797112453892,nan,nan,96.72845070422535,22.025658702105925,-71.76,8.006797112453892,1,25,45,0,4,5,[20000.0],[0.0],[19.5],[27.6],[4.5],[182.4],[4.5],[182.4],[3.4],[176.4],[4.279999999999999],[181.2],[791.22],[43.540000000000006],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 13:45,83,84.78367346938775,17.308770301866204,108.99529411764706,17.587642091117832,98.56,21.143017760007677,nan,nan,-70.83,6.603203767869049,nan,nan,91.92479999999999,20.594726532780182,-70.83,6.603203767869049,2,25,48,0,4,4,[20000.0],[0.0],[19.125],[32.25],[3.825],[267.75],[3.825],[267.75],[2.475],[272.75],[3.6750000000000003],[238.0],[791.0500000000001],[44.075],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 14:00,74,90.13333333333331,16.49091332286427,105.97200000000001,14.517267511484386,121.23,10.53692080258744,nan,nan,-77.31692307692308,8.435842381552094,nan,nan,99.96196721311476,17.929955411213534,-77.31692307692308,8.435842381552094,0,16,45,0,7,6,[20000.0],[0.0],[17.466666666666665],[40.666666666666664],[4.333333333333333],[321.3333333333333],[4.333333333333333],[321.3333333333333],[2.9000000000000004],[328.0],[4.4],[333.0],[790.8333333333334],[43.1],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 14:15,85,84.2057142857143,18.92733688696466,109.86923076923078,13.311022882465299,90.24000000000001,19.068864675171408,nan,nan,-88.2,9.027318538746709,nan,nan,93.45150000000001,20.83827074759324,-88.2,9.027318538746709,1,20,59,0,1,4,[20000.0],[0.0],[16.4],[46.0],[3.0],[354.0],[3.0],[354.0],[2.3],[325.0],[4.1],[335.0],[790.7],[42.5],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 14:30,91,86.85658536585366,19.03331092914839,105.552,13.005918652675021,105.23999999999998,20.93234817214734,nan,nan,-77.91749999999999,9.905700063599744,nan,nan,95.29439999999998,19.820871036359627,-77.91749999999999,9.905700063599744,2,12,61,0,10,6,[20000.0],[0.0],[16.380000000000003],[45.8],[4.22],[321.4],[4.22],[321.4],[3.3600000000000003],[329.2],[3.54],[331.2],[790.52],[42.980000000000004],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 14:45,72,84.16421052631578,18.441766759690804,108.12,9.841829098292655,104.54400000000001,13.687766216589178,nan,nan,-75.15,12.213611259574296,nan,nan,92.352,19.569178214733494,-75.15,12.213611259574296,0,18,42,0,8,4,[20000.0],[0.0],[15.766666666666666],[48.666666666666664],[4.7],[337.3333333333333],[4.7],[337.3333333333333],[3.866666666666667],[333.0],[4.233333333333333],[335.6666666666667],[790.2333333333332],[42.63333333333333],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 15:00,94,92.07200000000002,14.918303388790564,115.78736842105263,15.67821178112286,107.37818181818183,11.631035143631744,nan,nan,-77.0021052631579,4.926242914440738,nan,nan,100.32480000000001,18.010476311302817,-77.0021052631579,4.926242914440738,0,26,49,0,11,8,[20000.0],[0.0],[15.5],[50.0],[4.7],[358.0],[4.7],[358.0],[3.5],[342.0],[4.1],[339.0],[790.1],[43.2],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 15:15,79,88.25478260869566,18.335733435151017,107.33142857142856,12.831402805585354,108.2057142857143,15.168726151566732,nan,nan,-80.16000000000001,11.32840677235771,nan,nan,94.32537313432834,19.23649627764566,-80.16000000000001,11.32840677235771,0,23,44,0,3,9,[20000.0],[0.0],[15.2],[50.0],[4.1],[330.0],[4.1],[330.0],[3.1],[334.0],[4.4],[334.0],[790.0],[41.8],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 15:30,95,82.94538461538461,16.81646451244211,103.52159999999999,16.86155762199922,107.64,14.992798271170061,nan,nan,-84.8,6.25178374546017,nan,nan,91.51116279069767,19.765783355869647,-84.8,6.25178374546017,2,24,60,0,2,7,[20000.0],[0.0],[14.959999999999999],[51.4],[4.220000000000001],[328.8],[4.220000000000001],[328.8],[3.2600000000000002],[328.0],[3.8],[333.8],[789.96],[41.4],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 15:45,96,86.17170731707317,18.5511863932543,103.25454545454545,12.340004688106053,88.47999999999999,19.948734295689036,nan,nan,-81.61500000000001,9.685203921446362,nan,nan,91.68,18.75467941608174,-81.61500000000001,9.685203921446362,2,20,50,0,13,11,[20000.0],[0.0],[13.966666666666669],[56.333333333333336],[4.333333333333333],[331.0],[4.333333333333333],[331.0],[3.766666666666667],[325.6666666666667],[4.333333333333333],[332.6666666666667],[789.9333333333334],[39.53333333333333],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 16:00,81,85.41000000000001,17.54005312524348,109.8,17.62730526510195,93.96,34.96388994376913,nan,nan,-79.89,4.283491566467711,nan,nan,93.55826086956522,21.79128658176173,-79.89,4.283491566467711,2,25,42,0,6,6,[20000.0],[0.0],[12.566666666666668],[60.666666666666664],[4.2],[324.3333333333333],[4.2],[324.3333333333333],[3.5],[330.6666666666667],[4.466666666666668],[331.3333333333333],[790.0333333333333],[38.46666666666667],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 16:15,85,91.71219512195121,16.59942336820919,107.97749999999999,15.089685011623004,99.28,19.31051527018376,nan,nan,-80.37473684210526,5.368762837417216,nan,nan,96.68727272727271,18.011457510509597,-80.37473684210526,5.368762837417216,0,23,43,0,13,6,[20000.0],[0.0],[13.363636363636363],[58.09090909090909],[3.5],[282.90909090909093],[3.5],[282.90909090909093],[2.709090909090909],[341.54545454545456],[3.1727272727272724],[336.27272727272725],[790.1272727272727],[39.18181818181819],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 16:30,90,85.6967441860465,14.736182289502356,108.06,16.857544305147176,107.244,26.59834852016192,nan,nan,-76.56923076923077,8.964355450284938,nan,nan,95.46545454545455,20.554111956002426,-76.56923076923077,8.964355450284938,2,27,48,0,8,5,[20000.0],[0.0],[13.419999999999998],[56.8],[4.380000000000001],[242.8],[4.380000000000001],[242.8],[3.07],[207.5],[2.9699999999999998],[346.3],[790.25],[38.32000000000001],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 16:45,83,86.274,20.02851676984594,105.82285714285713,19.500691353521447,110.98285714285714,16.679991190718564,nan,nan,-81.74399999999999,10.313411850595323,nan,nan,94.85470588235296,22.119760560784467,-81.74399999999999,10.313411850595323,2,19,47,0,7,8,[20000.0],[0.0],[12.433333333333332],[57.333333333333336],[4.433333333333334],[25.0],[4.433333333333334],[25.0],[3.6666666666666665],[23.666666666666668],[3.866666666666667],[129.66666666666666],[790.3333333333334],[36.46666666666667],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 17:00,81,86.931,17.47743227708235,107.4,19.578028501358354,109.65599999999999,19.86808657118244,nan,nan,-77.74000000000001,9.338029770781414,nan,nan,94.58285714285715,20.902864953525057,-77.74000000000001,9.338029770781414,0,25,38,0,8,10,[20000.0],[0.0],[12.118181818181817],[57.72727272727273],[4.20909090909091],[19.272727272727273],[4.20909090909091],[19.272727272727273],[3.145454545454545],[25.90909090909091],[3.536363636363636],[30.0],[790.5090909090909],[35.00000000000001],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 17:15,68,87.74000000000001,16.03866577992072,107.60571428571427,14.085817443841323,133.2,12.96,nan,nan,-78.72,14.617359542680752,nan,nan,96.35186440677965,19.22579874028524,-78.72,14.617359542680752,1,17,41,0,6,3,[20000.0],[0.0],[11.875],[58.333333333333336],[3.8250000000000006],[28.0],[3.8250000000000006],[28.0],[2.975],[24.416666666666668],[3.216666666666667],[20.666666666666668],[790.7166666666667],[33.49166666666666],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 17:30,91,91.544,17.301423756442702,109.02239999999998,16.54799982596084,95.82,19.615228777661503,nan,nan,-76.152,6.754028131419058,nan,nan,97.63105263157895,19.04144244722322,-76.152,6.754028131419058,1,20,55,0,11,4,[20000.0],[0.0],[11.711111111111112],[58.55555555555556],[3.9444444444444446],[74.33333333333333],[3.9444444444444446],[74.33333333333333],[2.7333333333333334],[30.555555555555557],[2.8555555555555556],[30.11111111111111],[791.0],[32.21111111111111],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 17:45,83,83.78341463414635,16.006162168510723,110.34,17.2948596822458,103.32,17.304357832638576,nan,nan,-75.855,6.778523069223857,nan,nan,91.40949152542373,20.10919255378451,-75.855,6.778523069223857,0,21,38,0,13,11,[20000.0],[0.0],[10.375],[61.75],[4.725],[34.75],[4.725],[34.75],[4.0249999999999995],[44.0],[4.075],[37.25],[791.2250000000001],[29.549999999999997],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 18:00,85,86.45684210526315,16.870447862470407,111.94434782608697,20.962007003580247,113.76,0.7199999999999989,nan,nan,-76.33636363636364,10.518407477739611,nan,nan,96.62857142857142,22.123897505103535,-76.33636363636364,10.518407477739611,2,25,36,0,9,13,[20000.0],[0.0],[10.241666666666667],[62.0],[4.341666666666668],[34.833333333333336],[4.341666666666668],[34.833333333333336],[3.4166666666666665],[37.0],[3.5916666666666663],[38.5],[791.4166666666665],[28.441666666666663],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 18:15,75,87.91714285714286,19.0538692840556,110.78999999999999,16.547032966668073,120.54,10.822809247140967,nan,nan,-73.86545454545454,13.180683085924274,nan,nan,96.69375,21.707611820223338,-73.86545454545454,13.180683085924274,2,26,36,0,6,5,[20000.0],[0.0],[9.961538461538463],[63.61538461538461],[3.8153846153846156],[50.61538461538461],[3.8153846153846156],[50.61538461538461],[3.06923076923077],[46.30769230769231],[3.369230769230769],[42.61538461538461],[791.6076923076923],[26.907692307692304],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-03-02 18:30,68,91.95096774193547,17.778167719159708,119.39142857142858,19.01030204056394,102.13714285714286,25.89263861976754,nan,nan,-78.84,7.268301039445189,nan,nan,100.71000000000002,22.714355846874934,-78.84,7.268301039445189,1,19,32,0,11,5,[20000.0],[0.0],[10.071428571428573],[62.857142857142854],[3.0357142857142856],[87.21428571428571],[3.0357142857142856],[87.21428571428571],[2.2857142857142856],[63.642857142857146],[2.3571428571428568],[41.57142857142857],[791.8785714285714],[25.549999999999994],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-03-02 18:45,73,85.14486486486487,15.352563941450729,102.14526315789475,21.48786961800126,84.83999999999999,17.400413788183315,nan,nan,-83.93142857142857,7.88703715612148,nan,nan,90.60406779661018,19.369413168805043,-83.93142857142857,7.88703715612148,0,22,37,0,6,8,[20000.0],[0.0],[9.76],[63.86666666666667],[3.0533333333333337],[206.2],[3.0533333333333337],[206.2],[2.0599999999999996],[292.6],[2.166666666666667],[289.1333333333333],[792.18],[23.62],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-03-02 19:00,73,89.49600000000002,18.204897802514576,116.04,15.565412206005249,90.63,24.259800081616497,nan,nan,-73.08,8.007696297937379,nan,nan,99.71345454545454,21.927247326986645,-73.08,8.007696297937379,1,16,38,1,12,5,[20000.0],[0.0],[9.129999999999999],[65.6],[3.17],[76.3],[3.17],[76.3],[2.23],[172.2],[2.02],[170.6],[792.47],[21.990000000000002],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 19:15,77,83.82705882352941,15.71367248972012,108.56842105263159,18.71319074966215,99.945,19.124894117353957,nan,nan,-66.3525,11.514175773801615,nan,nan,93.6472131147541,20.566226662139957,-66.3525,11.514175773801615,0,18,43,0,10,6,[20000.0],[0.0],[7.528571428571429],[70.85714285714286],[4.271428571428571],[52.0],[4.271428571428571],[52.0],[3.3571428571428577],[45.142857142857146],[4.042857142857143],[43.714285714285715],[792.6999999999999],[19.95714285714286],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-03-02 19:30,73,85.626,20.054060037807805,100.92,18.0973368206485,100.08,0.0,nan,nan,-74.54769230769232,14.975215500617708,nan,nan,89.67599999999999,21.448438264824784,-74.54769230769232,14.975215500617708,1,16,43,0,6,7,[20000.0],[0.0],[7.51111111111111],[71.0],[3.922222222222222],[42.333333333333336],[3.922222222222222],[42.333333333333336],[3.0888888888888886],[41.888888888888886],[3.2222222222222223],[45.44444444444444],[792.9888888888889],[19.677777777777774],[1.0],[0.0],[0.0],[0.0],[0.82]
2020-03-02 19:45,66,79.46068965517243,16.420947499025598,101.25999999999999,18.46277335613477,109.08000000000001,10.823973392428496,nan,nan,-67.91142857142857,12.128777383410355,nan,nan,89.8546153846154,20.50508684181885,-67.91142857142857,12.128777383410355,0,16,36,0,9,5,[20000.0],[0.0],[7.214285714285713],[71.21428571428571],[3.9928571428571433],[50.07142857142857],[3.9928571428571433],[50.07142857142857],[2.9214285714285713],[51.642857142857146],[3.2714285714285714],[48.785714285714285],[793.2571428571428],[18.54285714285714],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-03-02 20:00,84,82.58399999999999,14.693489170377472,95.24,11.515137862830821,94.27499999999999,23.445259115650657,nan,nan,-71.62363636363638,10.333646080755528,nan,nan,85.92967741935483,16.630359622878405,-71.62363636363638,10.333646080755528,2,25,35,0,14,8,[20000.0],[0.0],[7.06],[72.33333333333333],[3.213333333333333],[68.86666666666666],[3.213333333333333],[68.86666666666666],[2.3466666666666662],[63.266666666666666],[2.6333333333333333],[52.06666666666667],[793.42],[18.04],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
2020-03-02 20:15,72,74.85942857142857,14.158822780535543,94.5529411764706,14.345335689880642,93.744,17.771898716794446,nan,nan,-77.25599999999999,8.16366976304162,nan,nan,82.38947368421053,17.390493916802942,-77.25599999999999,8.16366976304162,1,19,37,0,9,6,[20000.0],[0.0],[7.246666666666665],[72.46666666666667],[2.253333333333333],[113.46666666666667],[2.253333333333333],[113.46666666666667],[1.4000000000000001],[123.8],[1.506666666666667],[116.33333333333333],[793.6600000000002],[17.633333333333333],[1.0],[0.0],[0.0],[0.0],[0.8200000000000001]
